Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28.0,1,Female,53.0,3,3,Research Director,2,Single,11994.0,21293.0,0,Y,No,11,3,3,80.0,0,13,4,3,12.0,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30.0,3,Male,96.0,3,1,Research Scientist,4,Single,1232.0,19281.0,1,Y,No,14,3,4,80.0,0,0,6,3,0.0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31.0,2,Male,83.0,3,1,Research Scientist,1,Single,2960.0,17102.0,2,Y,No,11,3,3,80.0,0,8,2,3,4.0,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32.0,3,Female,58.0,3,5,Manager,3,Divorced,19094.0,10735.0,4,Y,No,11,3,4,80.0,1,26,3,2,14.0,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33.0,2,Female,72.0,1,1,Research Scientist,1,Single,3919.0,4681.0,1,Y,Yes,22,4,2,80.0,0,10,5,3,10.0,2,6,7
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35.0,3,Male,48.0,3,2,Sales Executive,2,Married,6825.0,21173.0,0,Y,No,11,3,4,80.0,1,10,2,3,9.0,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36.0,1,Female,42.0,2,3,Healthcare Representative,4,Married,10248.0,2094.0,3,Y,,14,3,4,80.0,1,24,4,3,22.0,6,5,17
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38.0,2,Female,83.0,3,5,Manager,1,Single,18947.0,22822.0,3,Y,No,12,3,4,80.0,0,22,2,2,2.0,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39.0,3,Male,78.0,3,1,Laboratory Technician,4,Single,2496.0,6670.0,4,Y,No,11,3,4,80.0,0,7,3,3,1.0,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40.0,4,Male,41.0,3,2,Healthcare Representative,4,Married,6465.0,19121.0,2,Y,Yes,13,3,4,80.0,0,9,5,4,4.0,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41.0,4,Male,83.0,2,1,Laboratory Technician,3,Single,2206.0,16117.0,1,Y,No,13,3,1,80.0,0,10,5,3,10.0,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42.0,4,Male,56.0,3,2,Sales Representative,4,Married,2086.0,3335.0,3,Y,No,14,3,3,80.0,1,19,6,4,1.0,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45.0,2,Male,61.0,3,1,Research Scientist,4,Married,2293.0,3020.0,2,Y,Yes,16,3,1,80.0,1,6,2,2,2.0,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46.0,4,Female,72.0,4,1,Research Scientist,3,Divorced,2645.0,21923.0,1,Y,No,12,3,4,80.0,2,6,3,2,5.0,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47.0,1,Male,86.0,2,1,Sales Representative,3,Married,2683.0,3810.0,1,Y,Yes,14,3,3,80.0,0,3,2,3,3.0,2,0,2
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49.0,4,Female,,3,1,Sales Representative,4,Married,2014.0,9687.0,1,Y,No,13,3,1,80.0,0,2,3,3,2.0,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51.0,2,Female,82.0,2,1,Research Scientist,1,Married,3419.0,13072.0,9,Y,Yes,14,3,4,80.0,1,6,3,4,1.0,1,0,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52.0,3,Female,42.0,4,2,Sales Executive,1,Married,5376.0,3193.0,2,Y,No,19,3,1,80.0,2,10,3,3,5.0,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53.0,3,Male,75.0,3,1,Laboratory Technician,4,Divorced,1951.0,10910.0,1,Y,No,12,3,3,80.0,1,1,3,3,1.0,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54.0,4,Female,33.0,3,1,Laboratory Technician,1,Divorced,2341.0,19715.0,1,Y,No,13,3,4,80.0,1,1,6,3,1.0,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55.0,1,Male,48.0,1,1,Laboratory Technician,3,Single,2293.0,10558.0,1,Y,No,12,3,3,80.0,0,1,2,2,1.0,0,0,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56.0,4,Male,37.0,3,3,Sales Executive,3,Single,8726.0,2975.0,1,Y,No,15,3,4,80.0,0,9,0,3,9.0,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57.0,3,Female,58.0,3,2,Laboratory Technician,4,Single,4011.0,10781.0,1,Y,No,23,4,4,80.0,0,12,2,3,12.0,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58.0,2,Female,49.0,3,5,Research Director,3,Married,19545.0,16280.0,1,Y,No,12,3,4,80.0,0,23,0,3,22.0,15,15,8
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60.0,2,Male,72.0,3,2,Sales Executive,3,Single,4568.0,10034.0,0,Y,No,20,4,3,80.0,0,10,2,3,9.0,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61.0,2,Male,73.0,3,1,Research Scientist,2,Married,3022.0,,4,Y,No,21,4,1,80.0,0,8,1,3,1.0,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62.0,1,Male,98.0,3,2,Sales Executive,4,,5772.0,20445.0,4,Y,Yes,21,4,3,80.0,0,14,4,3,9.0,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63.0,4,Male,36.0,4,1,Laboratory Technician,4,Married,2269.0,4892.0,1,Y,No,19,3,4,80.0,0,1,2,3,1.0,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64.0,1,Male,98.0,2,3,Laboratory Technician,3,Single,5381.0,19294.0,9,Y,Yes,13,3,4,80.0,0,23,2,3,1.0,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65.0,3,Male,50.0,3,1,Laboratory Technician,3,Single,3441.0,11179.0,1,Y,Yes,13,3,3,80.0,0,2,3,2,2.0,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68.0,2,Female,75.0,3,2,Sales Executive,1,Divorced,5454.0,4009.0,5,Y,Yes,21,4,3,80.0,1,9,2,2,4.0,3,1,3
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70.0,3,Male,79.0,2,3,Healthcare Representative,1,Married,9884.0,8302.0,2,Y,Yes,13,3,3,80.0,1,10,3,3,4.0,0,2,3
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72.0,3,Female,47.0,2,2,Sales Executive,4,Married,4157.0,21436.0,7,Y,Yes,19,3,3,80.0,1,5,2,2,2.0,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73.0,1,Female,98.0,3,3,Research Director,4,Single,13458.0,15146.0,1,Y,Yes,12,3,3,80.0,0,15,1,3,15.0,14,8,12
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74.0,2,Male,71.0,3,3,Sales Executive,1,Married,9069.0,11031.0,1,Y,No,22,4,4,80.0,1,9,3,2,9.0,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75.0,3,Female,30.0,3,1,Laboratory Technician,1,Married,4014.0,16002.0,3,Y,Yes,15,3,3,80.0,1,4,3,3,2.0,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76.0,4,Male,48.0,3,2,Laboratory Technician,4,Divorced,5915.0,9528.0,3,Y,No,22,4,4,80.0,1,10,3,2,7.0,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77.0,1,Male,51.0,2,2,Manufacturing Director,3,Divorced,5993.0,2689.0,1,Y,No,18,3,3,80.0,1,7,2,4,7.0,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78.0,1,Male,33.0,3,2,Manufacturing Director,4,Married,6162.0,10877.0,1,Y,Yes,22,4,2,80.0,1,9,3,3,9.0,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79.0,4,Female,50.0,3,2,Laboratory Technician,4,Single,2406.0,5456.0,1,Y,No,11,3,4,80.0,0,10,2,3,10.0,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80.0,2,Female,43.0,2,5,Research Director,3,Divorced,18740.0,16701.0,5,Y,Yes,12,3,4,80.0,1,29,2,2,27.0,3,13,8
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81.0,1,Female,99.0,3,3,Sales Executive,1,Single,7637.0,2354.0,7,Y,No,11,3,4,80.0,0,28,3,2,21.0,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83.0,3,Female,59.0,3,3,Healthcare Representative,3,Divorced,10096.0,8202.0,1,Y,No,13,3,2,80.0,3,17,2,3,17.0,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84.0,4,Female,33.0,3,4,Manager,3,Divorced,14756.0,19730.0,2,Y,Yes,14,3,3,80.0,3,21,2,3,5.0,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85.0,2,Male,95.0,2,2,Manufacturing Director,2,Single,6499.0,22656.0,1,Y,No,13,3,3,80.0,0,6,3,3,6.0,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86.0,2,Male,59.0,3,3,Research Scientist,1,Divorced,9724.0,18787.0,2,Y,No,17,3,3,80.0,1,25,2,3,1.0,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,,2,Male,79.0,3,1,Research Scientist,1,Married,2194.0,5868.0,4,Y,No,13,3,4,80.0,1,5,2,2,3.0,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90.0,4,Male,79.0,2,1,Research Scientist,3,Married,3388.0,21777.0,0,Y,Yes,17,3,1,80.0,1,2,0,2,1.0,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91.0,1,Female,57.0,2,2,Sales Executive,3,Single,5473.0,24668.0,7,Y,No,11,3,4,80.0,0,20,2,2,4.0,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94.0,3,Male,76.0,3,1,Research Scientist,2,Married,2703.0,4956.0,0,Y,No,23,4,4,80.0,1,6,3,3,5.0,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95.0,3,Male,87.0,3,1,Research Scientist,2,Single,2501.0,18775.0,1,Y,No,17,3,2,80.0,0,1,4,3,1.0,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96.0,2,Male,66.0,3,2,Research Scientist,2,Married,6220.0,7346.0,1,Y,No,17,3,2,80.0,2,10,3,3,10.0,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97.0,2,Female,55.0,4,1,Laboratory Technician,4,Married,3038.0,22002.0,3,Y,No,12,3,2,80.0,0,5,3,3,1.0,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98.0,3,Female,61.0,3,2,Manufacturing Director,4,Single,4424.0,20682.0,1,Y,No,23,4,4,80.0,0,11,2,3,11.0,7,1,8
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100.0,3,Male,32.0,2,2,Sales Executive,1,Single,4312.0,23016.0,0,Y,No,14,3,2,80.0,0,16,2,3,15.0,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101.0,4,Male,52.0,3,3,,1,Married,13245.0,15067.0,4,Y,Yes,14,3,2,80.0,0,17,3,4,0.0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102.0,1,Male,30.0,3,3,Research Director,3,Single,13664.0,25258.0,4,Y,No,13,3,1,80.0,0,16,3,4,5.0,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103.0,2,Male,80.0,3,2,Human Resources,2,Divorced,5021.0,10425.0,8,Y,Yes,22,4,4,80.0,1,16,2,3,4.0,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104.0,4,Male,55.0,2,2,Laboratory Technician,4,Married,5126.0,15998.0,1,Y,Yes,12,3,3,80.0,2,10,1,2,10.0,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105.0,2,Male,30.0,2,1,Research Scientist,3,Single,2859.0,26278.0,1,Y,No,18,3,1,80.0,0,6,3,3,6.0,4,0,4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106.0,1,Male,70.0,3,3,Sales Executive,4,Married,10239.0,18092.0,3,Y,No,14,3,4,80.0,1,24,4,3,1.0,0,1,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107.0,2,Female,79.0,1,2,Research Scientist,4,Divorced,5329.0,15717.0,7,Y,Yes,12,3,4,80.0,3,17,3,3,13.0,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110.0,1,Male,94.0,3,2,Manufacturing Director,2,Married,4325.0,17736.0,1,Y,No,15,3,3,80.0,0,5,2,3,5.0,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112.0,4,Male,49.0,1,3,Manufacturing Director,4,Single,7260.0,21698.0,4,Y,No,11,3,1,80.0,0,37,3,2,6.0,4,0,2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113.0,3,Male,62.0,3,1,Sales Representative,1,Divorced,2322.0,9518.0,3,Y,No,13,3,3,80.0,1,3,3,3,0.0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116.0,4,Male,96.0,3,1,Laboratory Technician,4,Married,2075.0,18725.0,3,Y,No,23,4,2,80.0,2,10,4,3,4.0,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117.0,3,Male,99.0,2,2,Healthcare Representative,4,Married,4152.0,15830.0,1,Y,No,19,3,1,80.0,3,11,3,3,11.0,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118.0,3,Male,64.0,2,3,Sales Executive,4,Single,9619.0,13596.0,1,Y,No,16,3,4,80.0,0,9,3,3,9.0,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119.0,3,Male,78.0,2,4,Healthcare Representative,2,Married,13503.0,14115.0,1,Y,No,22,4,4,80.0,1,22,3,2,22.0,3,11,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120.0,3,Male,71.0,3,2,Sales Executive,4,Single,5441.0,8423.0,0,Y,Yes,22,4,4,80.0,0,11,2,1,10.0,7,1,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121.0,3,Female,63.0,2,2,Sales Executive,2,Divorced,5209.0,19760.0,1,Y,Yes,12,3,2,80.0,3,11,4,2,11.0,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124.0,3,Male,40.0,2,3,Healthcare Representative,1,Married,10673.0,3142.0,2,Y,Yes,13,3,3,80.0,1,21,5,2,10.0,9,9,5
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125.0,2,Male,87.0,3,2,Sales Executive,3,Single,5010.0,24301.0,1,Y,No,16,3,1,80.0,0,12,0,3,11.0,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126.0,1,Female,60.0,3,3,Research Director,3,Married,13549.0,24001.0,9,Y,No,12,3,1,80.0,1,16,5,1,4.0,3,0,3
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128.0,1,Female,33.0,3,2,Sales Executive,3,Married,4999.0,17519.0,0,Y,No,21,4,1,80.0,1,4,2,2,3.0,2,0,2
28,No,Non-Travel,120,Sales,4,3,Medical,1,129.0,2,Male,43.0,3,2,,3,Married,4221.0,8863.0,1,Y,No,15,3,2,80.0,0,5,3,4,5.0,4,0,4
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131.0,4,Male,37.0,3,4,Sales Executive,3,Single,13872.0,24409.0,0,Y,No,13,3,3,80.0,0,38,1,2,37.0,10,1,8
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132.0,2,Male,67.0,3,2,Laboratory Technician,2,Married,2042.0,25043.0,4,Y,No,12,3,3,80.0,1,17,3,4,3.0,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133.0,3,Male,63.0,3,1,Human Resources,1,Divorced,2073.0,23648.0,4,Y,Yes,22,4,4,80.0,0,7,3,3,3.0,2,0,2
32,,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134.0,4,Male,71.0,3,1,Research Scientist,1,Single,2956.0,15178.0,1,Y,No,13,3,4,80.0,0,1,2,3,1.0,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137.0,4,Female,66.0,2,1,Laboratory Technician,4,Single,2926.0,19783.0,1,Y,Yes,18,3,2,80.0,0,1,5,3,1.0,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138.0,1,Female,41.0,3,2,Research Scientist,3,Single,4809.0,12482.0,1,Y,No,14,3,3,80.0,0,16,3,3,16.0,13,2,10
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139.0,3,Male,100.0,2,2,Healthcare Representative,4,Divorced,5163.0,15850.0,5,Y,No,14,3,4,80.0,1,17,2,4,1.0,0,0,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140.0,3,Female,32.0,2,5,Manager,4,Married,18844.0,21922.0,9,Y,No,21,4,4,80.0,1,30,3,3,3.0,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141.0,1,Female,73.0,3,5,Research Director,2,Married,18172.0,9755.0,3,Y,Yes,19,3,1,80.0,0,28,1,2,8.0,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142.0,3,Male,46.0,2,2,Sales Executive,3,Single,5744.0,26959.0,1,Y,Yes,11,3,4,80.0,0,6,1,3,6.0,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143.0,4,Male,64.0,2,1,Research Scientist,4,Married,2889.0,26897.0,1,Y,No,11,3,3,80.0,2,2,2,3,2.0,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144.0,2,Female,59.0,3,1,Laboratory Technician,4,Single,2871.0,23785.0,1,Y,No,15,3,3,80.0,0,1,5,3,0.0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145.0,1,Female,30.0,2,3,Healthcare Representative,1,Single,7484.0,25796.0,3,Y,No,20,4,3,80.0,0,23,1,2,13.0,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147.0,1,Male,66.0,1,2,Laboratory Technician,3,Single,6074.0,22887.0,1,Y,Yes,24,4,4,80.0,0,9,3,3,9.0,7,0,6
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148.0,4,Female,30.0,4,4,Manager,4,Single,17328.0,13871.0,2,Y,Yes,12,3,3,80.0,0,23,3,3,5.0,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150.0,2,Male,52.0,3,1,Laboratory Technician,3,Married,2774.0,13257.0,0,Y,No,12,3,3,80.0,1,6,2,3,5.0,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151.0,3,Female,45.0,2,2,Research Scientist,2,Divorced,4505.0,15000.0,6,Y,No,15,3,3,80.0,1,12,3,3,1.0,0,0,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152.0,3,Male,87.0,3,3,Sales Executive,4,Single,7428.0,14506.0,2,Y,No,12,3,1,80.0,0,12,3,3,5.0,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153.0,3,Female,45.0,2,3,Manager,1,Single,11631.0,5615.0,2,Y,No,12,3,4,80.0,0,14,6,3,11.0,10,5,8
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154.0,2,Female,92.0,3,3,Sales Executive,4,Married,9738.0,22952.0,0,Y,No,14,3,3,80.0,1,10,6,3,9.0,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155.0,1,Female,39.0,3,1,Laboratory Technician,4,Divorced,2835.0,2561.0,5,Y,No,22,4,1,80.0,1,7,2,3,1.0,0,0,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158.0,3,Male,92.0,3,4,Manager,4,Married,16959.0,19494.0,1,Y,Yes,12,3,4,80.0,2,25,3,4,25.0,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159.0,1,Male,96.0,1,1,Research Scientist,3,Divorced,2613.0,22310.0,1,Y,No,25,4,3,80.0,3,10,2,2,10.0,7,0,9
33,No,Non-Travel,750,Sales,22,2,Marketing,1,160.0,3,Male,95.0,3,2,Sales Executive,2,Married,6146.0,15480.0,0,Y,No,13,3,1,80.0,1,8,2,4,7.0,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161.0,2,Female,72.0,3,1,Research Scientist,2,Married,4963.0,4510.0,9,Y,Yes,18,3,1,80.0,3,7,2,3,5.0,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162.0,1,Male,51.0,3,5,Research Director,3,Single,19537.0,6462.0,7,Y,No,13,3,3,80.0,0,23,5,3,,18,15,15
